mode,team_contacting,date_contacted,content_object
phone,sales,11/26/20,Lead
email,sales,11/24/20,Lead
email,sales,6/30/20,Lead
social_media,support,2/22/21,Lead
social_media,support,4/9/21,Lead
mail,sales,3/3/21,Lead
social_media,marketing,12/24/20,Lead
phone,support,4/6/21,Client
mail,sales,12/22/20,Lead
email,sales,1/13/21,Lead
phone,marketing,4/20/21,Client
social_media,support,2/17/21,Lead
email,marketing,6/12/20,Client
email,support,9/21/20,Lead
email,support,5/21/21,Client
phone,sales,4/26/21,Client
phone,sales,5/17/21,Lead
email,support,5/24/21,Client
email,sales,2/10/21,Lead
phone,marketing,2/11/21,Client
phone,sales,11/29/20,Lead
email,support,7/20/20,Lead
phone,sales,3/11/21,Client
mail,marketing,3/21/21,Client
mail,sales,3/29/21,Client
social_media,marketing,4/14/21,Lead
social_media,support,9/3/20,Lead
phone,sales,8/13/20,Lead
social_media,sales,3/28/21,Lead
social_media,marketing,5/23/21,Client
mail,marketing,11/10/20,Client
social_media,marketing,1/19/21,Client
phone,marketing,1/11/21,Client
social_media,sales,5/13/21,Client
phone,marketing,11/3/20,Client
email,marketing,6/5/20,Lead
social_media,sales,9/18/20,Lead
phone,marketing,5/24/21,Lead
mail,sales,5/26/21,Client
phone,marketing,5/21/21,Lead
mail,marketing,5/5/21,Lead
email,support,3/4/21,Client
social_media,sales,10/1/20,Client
phone,sales,2/26/21,Client
social_media,support,12/9/20,Lead
phone,support,4/20/21,Client
mail,marketing,8/9/20,Client
phone,support,1/19/21,Lead
mail,sales,8/16/20,Client
mail,marketing,1/12/21,Client
social_media,support,6/20/20,Client
mail,sales,3/16/21,Lead
email,sales,10/16/20,Client
mail,marketing,7/28/20,Lead
mail,marketing,9/25/20,Lead
mail,support,4/18/21,Lead
email,marketing,7/9/20,Client
phone,support,5/17/21,Lead
email,sales,4/4/21,Lead
phone,sales,1/19/21,Lead
phone,marketing,1/14/21,Lead
social_media,sales,8/4/20,Lead
mail,sales,3/21/21,Lead
email,sales,4/26/21,Client
mail,marketing,12/21/20,Client
social_media,support,8/16/20,Lead
phone,sales,2/5/21,Lead
phone,sales,4/28/21,Lead
email,support,5/12/21,Lead
social_media,support,5/22/21,Client
mail,marketing,3/30/21,Lead
phone,support,5/30/21,Client
email,marketing,5/24/21,Client
phone,sales,2/16/21,Client
email,sales,3/11/21,Client
email,support,12/15/20,Client
email,marketing,2/12/21,Client
social_media,marketing,4/19/21,Lead
email,sales,5/19/21,Client
mail,sales,2/11/21,Client
phone,marketing,12/6/20,Client
phone,support,4/2/21,Lead
mail,marketing,11/27/20,Lead
social_media,sales,5/23/21,Lead
social_media,marketing,12/23/20,Client
mail,marketing,5/15/21,Lead
email,support,5/19/21,Lead
mail,sales,2/11/21,Client
social_media,sales,1/5/21,Client
email,sales,4/20/21,Lead
mail,marketing,4/28/21,Client
email,support,11/12/20,Client
phone,sales,6/15/20,Client
email,sales,4/22/21,Lead
phone,support,12/16/20,Client
social_media,sales,7/9/20,Lead
phone,sales,3/26/21,Lead
phone,marketing,10/8/20,Client
mail,sales,3/24/21,Client
mail,sales,1/10/21,Lead
mail,sales,10/18/20,Client
phone,sales,11/2/20,Client
phone,support,12/3/20,Lead
phone,marketing,5/18/21,Client
email,sales,3/21/21,Lead
phone,support,2/12/21,Client
phone,marketing,4/25/21,Client
phone,marketing,11/13/20,Lead
mail,sales,9/14/20,Client
social_media,sales,3/15/21,Lead
phone,support,1/30/21,Lead
mail,sales,5/20/21,Client
email,marketing,3/25/21,Lead
mail,support,5/28/21,Lead
mail,sales,10/7/20,Lead
phone,sales,12/31/20,Client
email,marketing,1/15/21,Client
mail,support,4/14/21,Lead
mail,sales,5/21/21,Client
email,marketing,9/22/20,Client
email,marketing,7/8/20,Lead
social_media,sales,5/25/21,Client
social_media,marketing,10/30/20,Lead
email,support,5/23/21,Client
social_media,marketing,7/16/20,Client
mail,marketing,8/23/20,Client
email,sales,1/21/21,Client
social_media,sales,5/21/21,Client
mail,marketing,2/12/21,Lead
phone,marketing,4/9/21,Client
email,sales,1/23/21,Client
social_media,support,1/5/21,Lead
social_media,support,11/23/20,Lead
mail,support,1/12/21,Client
mail,sales,2/11/21,Lead
email,sales,5/5/21,Lead
email,marketing,5/25/21,Lead
phone,marketing,2/17/21,Client
phone,support,5/4/21,Client
social_media,marketing,5/1/21,Lead
mail,marketing,12/28/20,Client
mail,support,5/31/20,Client
mail,support,1/21/21,Client
social_media,marketing,12/21/20,Lead
mail,marketing,8/30/20,Client
phone,sales,12/22/20,Client
email,support,6/29/20,Client
mail,marketing,6/23/20,Client
mail,marketing,6/13/20,Client
social_media,support,1/7/21,Lead
phone,sales,4/15/21,Lead
phone,sales,11/30/20,Lead
email,sales,11/7/20,Client
email,sales,2/22/21,Client
email,marketing,12/27/20,Client
social_media,sales,11/1/20,Client
phone,support,5/8/21,Lead
phone,sales,5/26/21,Lead
social_media,marketing,3/31/21,Client
phone,marketing,5/29/21,Lead
phone,sales,2/8/21,Lead
phone,support,2/12/21,Lead
email,support,5/26/21,Lead
phone,sales,2/9/21,Lead
mail,marketing,3/18/21,Lead
phone,marketing,12/18/20,Client
mail,sales,5/2/21,Lead
social_media,marketing,7/5/20,Lead
phone,marketing,1/9/21,Client
phone,marketing,1/7/21,Client
phone,sales,5/12/21,Client
mail,sales,11/28/20,Lead
mail,sales,6/12/20,Client
email,sales,1/23/21,Lead
mail,sales,4/29/21,Lead
social_media,sales,5/5/21,Client
social_media,sales,5/26/21,Client
social_media,marketing,5/23/21,Lead
phone,support,4/19/21,Client
phone,sales,3/25/21,Client
phone,support,4/4/21,Lead
social_media,sales,2/9/21,Lead
email,marketing,5/26/21,Lead
social_media,sales,6/2/20,Client
email,support,11/28/20,Lead
email,support,7/21/20,Lead
phone,sales,3/26/21,Lead
mail,sales,12/29/20,Lead
email,marketing,12/9/20,Lead
mail,sales,10/20/20,Client
email,sales,6/2/20,Client
email,support,5/9/21,Client
social_media,sales,3/17/21,Lead
mail,sales,3/4/21,Lead
email,sales,4/13/21,Client
phone,sales,2/9/21,Lead
mail,support,11/24/20,Client
social_media,marketing,3/22/21,Client
phone,marketing,5/17/21,Client
mail,support,1/17/21,Lead
phone,sales,9/16/20,Client
mail,marketing,4/4/21,Client
mail,marketing,4/6/21,Lead
social_media,sales,5/18/21,Lead
social_media,support,11/11/20,Client
phone,support,12/24/20,Client
social_media,support,3/21/21,Lead
mail,sales,2/19/21,Lead
phone,marketing,2/8/21,Lead
email,sales,2/25/21,Lead
social_media,marketing,2/25/21,Client
phone,support,6/18/20,Client
email,sales,5/11/21,Lead
phone,support,8/28/20,Lead
email,sales,6/5/20,Client
phone,sales,7/9/20,Client
email,sales,8/9/20,Client
phone,support,11/19/20,Lead
phone,sales,5/18/21,Client
social_media,marketing,7/22/20,Client
phone,support,5/23/21,Client
mail,support,2/18/21,Lead
phone,support,12/4/20,Lead
email,support,4/22/21,Client
phone,marketing,5/20/21,Client
social_media,sales,3/28/21,Client
phone,sales,11/28/20,Lead
social_media,marketing,5/14/21,Lead
mail,sales,10/19/20,Client
phone,sales,5/27/21,Client
mail,support,11/26/20,Lead
social_media,sales,2/24/21,Lead
social_media,marketing,3/26/21,Client
email,sales,5/5/21,Client
phone,sales,6/19/20,Client
social_media,marketing,4/21/21,Lead
social_media,support,11/25/20,Client
social_media,sales,3/31/21,Lead
phone,support,6/30/20,Client
email,support,11/29/20,Client
mail,support,9/26/20,Client
email,sales,6/21/20,Lead
social_media,marketing,5/18/21,Lead
social_media,marketing,4/9/21,Client
phone,marketing,5/19/21,Lead
social_media,marketing,5/2/21,Lead
email,marketing,3/14/21,Lead
social_media,marketing,3/1/21,Client
social_media,sales,1/20/21,Lead
social_media,sales,1/13/21,Client
phone,sales,1/27/21,Lead
social_media,sales,1/15/21,Lead
social_media,marketing,11/8/20,Client
mail,sales,2/11/21,Lead
social_media,sales,1/22/21,Lead
phone,marketing,12/13/20,Client
social_media,marketing,8/31/20,Client
social_media,marketing,5/11/21,Lead
phone,marketing,9/22/20,Client
social_media,support,7/11/20,Lead
mail,marketing,2/11/21,Lead
social_media,marketing,11/24/20,Client
email,marketing,3/22/21,Client
social_media,sales,5/1/21,Lead
email,sales,3/15/21,Client
social_media,sales,3/27/21,Client
email,sales,2/8/21,Client
email,marketing,11/26/20,Lead
social_media,sales,6/14/20,Lead
email,sales,4/23/21,Client
phone,support,3/10/21,Lead
phone,marketing,4/7/21,Lead
email,support,5/5/21,Client
phone,support,2/28/21,Client
email,marketing,4/17/21,Client
mail,support,5/14/21,Client
email,marketing,6/24/20,Client
email,support,11/18/20,Lead
social_media,sales,12/16/20,Client
mail,marketing,2/5/21,Client
mail,marketing,10/12/20,Lead
email,sales,5/11/21,Client
phone,sales,9/24/20,Lead
social_media,sales,4/30/21,Lead
phone,support,6/3/20,Lead
mail,marketing,2/17/21,Lead
mail,support,5/30/21,Lead
phone,support,1/17/21,Client
phone,marketing,5/6/21,Client
mail,support,2/14/21,Lead
phone,sales,11/27/20,Client
social_media,support,5/22/21,Client
social_media,support,11/10/20,Lead
mail,marketing,7/23/20,Client
mail,support,3/28/21,Lead
email,sales,11/16/20,Client
social_media,support,5/12/21,Client
phone,support,5/29/21,Lead
social_media,sales,2/3/21,Lead
mail,sales,5/17/21,Client
mail,sales,12/20/20,Lead
phone,support,9/16/20,Client
email,marketing,5/28/21,Lead
phone,marketing,4/22/21,Client
phone,marketing,5/12/21,Lead
phone,sales,12/23/20,Lead
phone,marketing,6/28/20,Lead
social_media,marketing,6/6/20,Client
phone,sales,9/22/20,Lead
email,sales,5/11/21,Lead
phone,support,1/19/21,Lead
email,support,2/2/21,Client
email,support,6/20/20,Client
social_media,support,2/16/21,Lead
phone,sales,2/12/21,Lead
email,support,1/23/21,Lead
email,support,4/21/21,Client
mail,marketing,2/3/21,Lead
phone,sales,7/24/20,Client
phone,marketing,5/5/21,Lead
social_media,support,5/16/21,Client
mail,sales,3/2/21,Lead
phone,support,10/16/20,Lead
phone,support,1/20/21,Lead
phone,support,5/10/21,Client
phone,support,2/26/21,Lead
phone,support,2/3/21,Client
social_media,support,2/12/21,Lead
social_media,marketing,12/27/20,Client
phone,support,3/29/21,Client
email,sales,3/16/21,Client
social_media,marketing,3/5/21,Lead
phone,sales,11/26/20,Client
phone,sales,3/6/21,Lead
mail,support,2/22/21,Lead
mail,support,2/17/21,Client
email,support,4/22/21,Client
mail,sales,5/26/21,Lead
social_media,sales,7/16/20,Client
social_media,sales,9/10/20,Client
email,marketing,5/20/21,Client
email,sales,2/5/21,Lead
email,support,3/15/21,Lead
email,sales,8/29/20,Lead
social_media,sales,10/5/20,Client
social_media,sales,6/25/20,Client
email,sales,4/29/21,Client
social_media,support,2/4/21,Client
email,support,11/28/20,Lead
social_media,support,6/20/20,Client
phone,marketing,5/13/21,Lead
phone,marketing,5/18/21,Client
email,sales,12/17/20,Client
social_media,sales,2/23/21,Client
phone,support,3/13/21,Lead
mail,marketing,11/29/20,Client
social_media,sales,5/29/21,Client
phone,sales,11/6/20,Lead
email,sales,1/27/21,Lead
social_media,sales,11/28/20,Client
email,support,1/3/21,Client
mail,marketing,4/8/21,Lead
mail,support,4/17/21,Lead
phone,sales,5/21/21,Client
email,sales,1/18/21,Lead
social_media,marketing,12/21/20,Lead
mail,support,11/11/20,Lead
email,sales,2/12/21,Client
phone,sales,11/11/20,Lead
phone,sales,5/24/21,Client
mail,support,10/24/20,Client
phone,support,5/12/21,Lead
mail,support,7/7/20,Client
email,sales,2/23/21,Client
social_media,sales,10/8/20,Client
phone,sales,5/2/21,Client
email,support,7/14/20,Lead
mail,support,5/27/21,Lead
phone,marketing,5/18/21,Lead
email,marketing,6/14/20,Lead
social_media,sales,3/24/21,Client
phone,sales,2/11/21,Lead
phone,sales,5/21/21,Lead
social_media,sales,1/13/21,Lead
email,marketing,10/20/20,Client
phone,sales,5/12/21,Lead
phone,support,12/11/20,Client
email,sales,5/30/20,Client
phone,support,2/24/21,Lead
social_media,marketing,5/26/21,Lead
phone,support,3/9/21,Lead
email,marketing,3/20/21,Lead
mail,sales,2/22/21,Lead
mail,support,4/23/21,Client
social_media,sales,6/20/20,Client
mail,marketing,5/10/21,Lead
email,sales,5/20/21,Client
email,marketing,11/22/20,Client
mail,marketing,4/21/21,Client
phone,sales,3/3/21,Lead
email,sales,5/29/21,Client
email,sales,4/12/21,Client
mail,marketing,2/17/21,Client
email,marketing,4/19/21,Client
phone,support,10/2/20,Client
phone,marketing,10/16/20,Client
email,marketing,5/17/21,Lead
email,support,4/29/21,Client
social_media,sales,6/12/20,Lead
social_media,marketing,5/7/21,Lead
email,support,11/25/20,Lead
email,marketing,7/9/20,Client
phone,support,9/27/20,Lead
email,sales,5/5/21,Lead
mail,support,5/29/21,Lead
mail,support,3/10/21,Client
social_media,sales,1/15/21,Client
social_media,support,11/16/20,Client
phone,support,6/21/20,Client
phone,support,11/29/20,Lead
phone,support,11/24/20,Lead
phone,sales,9/17/20,Client
phone,support,3/30/21,Client
email,sales,2/16/21,Lead
phone,marketing,5/26/21,Lead
phone,marketing,4/18/21,Client
phone,support,2/24/21,Lead
mail,sales,2/7/21,Lead
social_media,marketing,5/28/21,Client
social_media,support,4/21/21,Lead
phone,sales,11/30/20,Client
social_media,support,2/15/21,Client
social_media,support,3/13/21,Client
phone,marketing,10/31/20,Lead
social_media,sales,11/4/20,Client
email,support,2/20/21,Client
mail,marketing,1/15/21,Lead
email,support,3/28/21,Client
mail,marketing,5/24/21,Client
social_media,sales,5/13/21,Client
mail,sales,3/6/21,Client
email,sales,7/11/20,Client
mail,support,10/10/20,Client
email,support,8/11/20,Lead
social_media,marketing,6/6/20,Lead
email,support,3/9/21,Lead
email,support,11/8/20,Client
email,support,4/21/21,Client
phone,support,12/25/20,Lead
social_media,marketing,2/22/21,Client
phone,sales,7/20/20,Client
social_media,support,12/12/20,Lead
mail,marketing,6/8/20,Lead
email,marketing,4/22/21,Client
social_media,sales,10/27/20,Lead
phone,marketing,5/9/21,Lead
mail,sales,5/10/21,Lead
email,sales,5/28/21,Lead
email,support,5/1/21,Lead
social_media,marketing,2/23/21,Lead
mail,sales,3/18/21,Lead
mail,support,9/21/20,Lead
email,sales,12/24/20,Client
social_media,marketing,2/11/21,Lead
email,support,3/19/21,Lead
phone,marketing,5/5/21,Client
phone,sales,4/9/21,Lead
email,marketing,1/15/21,Lead
email,sales,3/18/21,Client
phone,sales,1/19/21,Lead
mail,support,4/26/21,Lead
mail,marketing,1/2/21,Lead
mail,marketing,4/11/21,Lead
mail,support,4/16/21,Lead
phone,marketing,11/8/20,Lead
phone,marketing,5/9/21,Lead
social_media,sales,11/16/20,Lead
social_media,sales,3/16/21,Client
email,support,12/15/20,Client
mail,marketing,3/14/21,Client
social_media,support,5/19/21,Lead
mail,support,4/16/21,Client
mail,sales,11/4/20,Client
mail,support,4/6/21,Client
phone,support,4/15/21,Client
social_media,support,2/9/21,Client
email,marketing,5/16/21,Client
phone,support,10/10/20,Lead
email,sales,6/23/20,Client
social_media,sales,5/5/21,Lead
social_media,sales,8/22/20,Client
social_media,sales,2/26/21,Client
mail,marketing,8/17/20,Client
email,marketing,3/27/21,Lead
email,sales,3/22/21,Client
mail,marketing,1/4/21,Client
email,sales,6/16/20,Client
social_media,marketing,4/21/21,Client
social_media,support,5/3/21,Lead
social_media,support,11/28/20,Client
email,sales,12/18/20,Client
mail,support,12/18/20,Client
phone,sales,3/1/21,Client
phone,support,5/6/21,Lead
social_media,marketing,7/4/20,Client
social_media,sales,4/29/21,Lead
mail,sales,1/24/21,Client
social_media,marketing,5/2/21,Lead
social_media,support,2/26/21,Lead
email,support,5/28/21,Lead
social_media,support,1/11/21,Client
email,marketing,9/4/20,Client
social_media,sales,4/15/21,Lead
email,support,5/4/21,Lead
email,sales,5/22/21,Lead
email,sales,6/22/20,Lead
mail,marketing,9/5/20,Lead
mail,support,3/18/21,Client
social_media,sales,5/15/21,Client
social_media,sales,2/2/21,Client
social_media,sales,5/7/21,Client
email,sales,8/24/20,Client
phone,support,6/14/20,Client
mail,support,4/26/21,Client
email,sales,10/29/20,Lead
social_media,support,2/15/21,Lead
phone,support,11/15/20,Lead
social_media,marketing,5/16/21,Client
mail,marketing,5/1/21,Lead
email,marketing,11/14/20,Lead
social_media,sales,3/3/21,Client
email,support,12/11/20,Lead
mail,support,1/5/21,Lead
social_media,sales,5/25/21,Lead
email,sales,2/19/21,Lead
email,marketing,11/23/20,Lead
phone,marketing,9/18/20,Lead
phone,sales,5/11/21,Lead
social_media,support,12/31/20,Lead
mail,marketing,3/15/21,Lead
email,support,7/18/20,Client
social_media,sales,12/18/20,Lead
mail,support,5/18/21,Lead
email,support,5/5/21,Client
email,marketing,4/29/21,Client
phone,sales,4/17/21,Lead
email,sales,4/30/21,Client
email,marketing,5/1/21,Lead
phone,marketing,3/6/21,Client
phone,support,12/3/20,Lead
email,support,5/18/21,Client
social_media,marketing,12/21/20,Lead
mail,sales,5/19/21,Client
social_media,sales,5/20/21,Client
mail,sales,6/16/20,Client
social_media,sales,4/9/21,Lead
email,sales,1/30/21,Client
social_media,marketing,1/12/21,Lead
social_media,sales,11/27/20,Client
email,marketing,7/21/20,Lead
phone,sales,5/23/21,Client
email,sales,4/8/21,Lead
email,marketing,8/26/20,Lead
email,sales,6/25/20,Lead
email,marketing,6/19/20,Lead
social_media,support,7/2/20,Client
social_media,marketing,8/26/20,Client
phone,sales,5/23/21,Lead
social_media,sales,10/6/20,Client
mail,sales,5/18/21,Lead
phone,support,2/24/21,Client
social_media,marketing,4/26/21,Lead
mail,support,6/25/20,Client
phone,marketing,6/3/20,Client
phone,sales,5/27/21,Lead
email,support,2/23/21,Client
mail,sales,4/24/21,Lead
phone,support,7/20/20,Client
phone,support,1/19/21,Client
phone,marketing,11/12/20,Lead
social_media,sales,3/27/21,Client
mail,sales,5/1/21,Lead
mail,sales,12/28/20,Lead
email,sales,4/13/21,Client
social_media,marketing,3/5/21,Client
phone,marketing,5/13/21,Lead
mail,sales,4/26/21,Lead
phone,support,12/15/20,Lead
mail,marketing,5/27/21,Lead
phone,marketing,5/12/21,Lead
email,sales,4/26/21,Lead
social_media,marketing,1/4/21,Lead
mail,support,9/16/20,Client
social_media,support,5/19/21,Client
email,sales,5/20/21,Lead
phone,support,11/18/20,Client
mail,sales,2/5/21,Client
mail,marketing,11/24/20,Lead
phone,support,11/10/20,Client
mail,support,11/13/20,Client
social_media,sales,12/10/20,Client
email,support,10/15/20,Client
mail,marketing,5/9/21,Lead
social_media,sales,12/9/20,Lead
social_media,marketing,4/23/21,Lead
mail,sales,12/17/20,Client
social_media,sales,5/13/21,Lead
email,support,12/13/20,Client
social_media,marketing,3/11/21,Lead
email,sales,6/13/20,Lead
social_media,sales,5/2/21,Client
mail,marketing,8/2/20,Lead
social_media,support,11/18/20,Lead
social_media,sales,2/2/21,Lead
mail,marketing,8/20/20,Lead
mail,marketing,10/19/20,Client
phone,support,10/1/20,Lead
phone,marketing,7/26/20,Client
social_media,support,4/16/21,Client
social_media,marketing,3/23/21,Lead
mail,marketing,6/17/20,Lead
mail,marketing,6/30/20,Client
social_media,support,5/26/21,Lead
social_media,support,3/8/21,Client
email,marketing,5/6/21,Lead
phone,sales,5/2/21,Lead
phone,sales,5/10/21,Client
mail,support,2/22/21,Client
social_media,support,4/14/21,Lead
phone,sales,5/29/21,Client
mail,marketing,6/3/20,Client
email,support,4/14/21,Client
phone,support,2/24/21,Client
social_media,sales,9/16/20,Lead
email,sales,6/20/20,Lead
mail,marketing,6/5/20,Lead
social_media,support,4/14/21,Client
social_media,support,5/12/21,Lead
social_media,sales,2/7/21,Lead
email,marketing,11/27/20,Lead
social_media,sales,4/19/21,Lead
social_media,marketing,1/19/21,Lead
social_media,sales,5/9/21,Lead
mail,support,2/15/21,Client
mail,marketing,9/6/20,Lead
phone,marketing,4/9/21,Client
mail,marketing,3/18/21,Client
social_media,sales,3/3/21,Lead
mail,support,5/14/21,Client
mail,support,2/22/21,Client
mail,support,5/20/21,Client
social_media,sales,2/19/21,Lead
phone,marketing,7/5/20,Lead
email,support,4/5/21,Client
email,support,5/1/21,Client
email,support,3/31/21,Lead
phone,sales,10/22/20,Client
email,marketing,4/16/21,Lead
social_media,marketing,2/27/21,Client
social_media,marketing,10/29/20,Lead
social_media,sales,1/29/21,Lead
email,marketing,1/14/21,Lead
social_media,support,1/22/21,Client
email,sales,12/28/20,Lead
email,support,7/9/20,Lead
mail,sales,3/5/21,Lead
phone,marketing,4/23/21,Client
mail,marketing,5/8/21,Client
social_media,marketing,10/10/20,Lead
phone,support,1/30/21,Lead
email,sales,1/26/21,Lead
mail,sales,10/23/20,Lead
email,sales,4/13/21,Client
email,support,10/1/20,Lead
email,marketing,4/29/21,Client
phone,sales,3/20/21,Client
mail,support,7/18/20,Client
mail,support,8/13/20,Client
phone,marketing,2/9/21,Lead
phone,marketing,9/8/20,Client
email,marketing,4/30/21,Lead
phone,marketing,5/27/21,Lead
email,marketing,5/10/21,Client
social_media,marketing,11/30/20,Lead
email,support,1/18/21,Client
email,support,3/22/21,Client
phone,sales,11/17/20,Client
phone,marketing,3/19/21,Lead
email,sales,7/4/20,Client
phone,sales,5/1/21,Lead
phone,marketing,2/22/21,Client
social_media,support,9/29/20,Client
social_media,marketing,1/31/21,Client
social_media,marketing,4/8/21,Lead
mail,support,11/27/20,Client
mail,sales,3/25/21,Lead
phone,sales,2/16/21,Lead
mail,marketing,10/2/20,Client
phone,sales,5/22/21,Lead
social_media,support,12/6/20,Lead
phone,marketing,11/24/20,Lead
mail,marketing,5/10/21,Lead
social_media,sales,2/10/21,Lead
email,marketing,9/17/20,Client
email,support,4/22/21,Client
phone,sales,3/2/21,Client
email,sales,2/11/21,Client
phone,support,5/5/21,Client
social_media,support,9/1/20,Lead
social_media,support,5/15/21,Client
social_media,support,11/24/20,Client
email,sales,5/10/21,Client
email,sales,5/26/21,Lead
mail,support,3/1/21,Lead
email,sales,2/10/21,Client
social_media,sales,1/2/21,Client
email,sales,4/13/21,Client
social_media,sales,11/25/20,Client
phone,support,4/14/21,Client
social_media,marketing,5/11/21,Lead
mail,marketing,4/24/21,Lead
phone,marketing,2/8/21,Client
email,marketing,3/11/21,Lead
phone,support,6/6/20,Lead
mail,sales,5/8/21,Lead
social_media,sales,6/11/20,Client
social_media,marketing,5/19/21,Client
email,sales,3/9/21,Client
mail,marketing,2/12/21,Client
mail,support,2/9/21,Lead
phone,marketing,9/26/20,Lead
social_media,sales,5/28/21,Lead
mail,support,2/13/21,Client
phone,sales,5/18/21,Client
social_media,support,12/7/20,Lead
phone,support,6/19/20,Lead
mail,sales,6/9/20,Client
mail,sales,4/23/21,Lead
email,sales,3/29/21,Client
mail,support,4/1/21,Lead
social_media,sales,12/23/20,Lead
phone,support,2/22/21,Lead
mail,sales,3/27/21,Client
email,support,5/7/21,Client
email,support,10/14/20,Client
phone,support,12/20/20,Client
social_media,sales,11/4/20,Lead
email,marketing,5/22/21,Client
social_media,support,1/12/21,Client
email,marketing,5/27/21,Lead
social_media,support,2/12/21,Lead
mail,sales,12/24/20,Lead
email,marketing,1/13/21,Client
mail,support,2/27/21,Client
social_media,sales,4/22/21,Lead
phone,marketing,6/26/20,Lead
email,sales,6/21/20,Lead
mail,sales,12/2/20,Lead
phone,marketing,3/19/21,Lead
email,marketing,3/12/21,Client
mail,support,11/29/20,Client
mail,support,4/16/21,Client
social_media,marketing,8/17/20,Client
social_media,marketing,9/25/20,Client
social_media,support,3/26/21,Lead
mail,support,10/18/20,Lead
email,support,3/28/21,Lead
social_media,marketing,5/18/21,Client
mail,support,5/5/21,Lead
phone,sales,7/10/20,Lead
phone,support,4/7/21,Client
phone,support,6/20/20,Client
phone,sales,6/23/20,Client
social_media,support,8/29/20,Lead
email,marketing,12/21/20,Client
phone,marketing,6/11/20,Client
social_media,support,5/3/21,Lead
email,marketing,5/11/21,Client
mail,support,11/16/20,Client
email,marketing,4/5/21,Lead
mail,support,4/30/21,Client
phone,marketing,4/28/21,Client
email,support,2/15/21,Client
email,support,7/14/20,Client
social_media,support,5/13/21,Lead
phone,support,9/10/20,Client
email,support,2/21/21,Client
social_media,marketing,1/26/21,Client
social_media,sales,11/26/20,Lead
phone,support,10/31/20,Client
email,marketing,8/16/20,Client
email,marketing,7/11/20,Client
phone,sales,12/18/20,Client
phone,marketing,3/12/21,Lead
email,support,6/20/20,Client
phone,support,2/19/21,Lead
phone,sales,2/22/21,Client
email,support,4/19/21,Lead
email,marketing,8/26/20,Client
mail,marketing,7/20/20,Client
social_media,marketing,11/29/20,Lead
phone,support,5/10/21,Lead
mail,sales,3/29/21,Lead
mail,marketing,11/27/20,Lead
phone,sales,2/16/21,Client
